depth,depth_label,prompt_structure,outcome,n,mae,spearman_rho,qwk,icc21,exact_acc,adjacent_acc,ba_bias,ba_loa_lo,ba_loa_hi,delta_corr,interrun_sd
D0,Demographics only,structured,closeness,80,"1.18 [0.98, 1.38]","-0.06 [-0.28, 0.18]","-0.16 [-0.34, 0.04]","-0.09 [-0.26, 0.08]","0.25 [0.15, 0.35]","0.66 [0.56, 0.76]",0.657,-1.939,3.253,"-0.11 [0.27, 0.62]",1.698
D0,Demographics only,structured,continuity,80,"0.86 [0.73, 0.98]","0.18 [-0.01, 0.36]","0.05 [-0.09, 0.18]","0.11 [-0.01, 0.24]","0.24 [0.15, 0.34]","0.81 [0.72, 0.89]",0.358,-1.534,2.250,"-0.04 [0.41, 0.68]",0.981
D0,Demographics only,structured,manip_checks,80,"0.99 [0.85, 1.15]","0.13 [-0.11, 0.36]","0.11 [-0.07, 0.28]","0.12 [-0.04, 0.27]","0.20 [0.11, 0.29]","0.76 [0.66, 0.85]",0.077,-2.276,2.430,n/a,0.928
D0,Demographics only,structured,vividness,80,"0.85 [0.71, 1.01]","0.01 [-0.21, 0.21]","0.06 [-0.05, 0.17]","0.03 [-0.09, 0.15]","0.34 [0.24, 0.45]","0.80 [0.71, 0.88]",0.608,-1.189,2.404,"-0.04 [0.44, 0.70]",0.876
D1,D0 + psychometrics + career,structured,closeness,80,"0.95 [0.78, 1.11]","0.28 [0.04, 0.49]","0.20 [0.02, 0.38]","0.23 [0.04, 0.42]","0.30 [0.20, 0.40]","0.75 [0.65, 0.85]",0.431,-1.752,2.614,"0.00 [0.45, 0.75]",0.832
D1,D0 + psychometrics + career,structured,continuity,80,"0.77 [0.64, 0.89]","0.45 [0.23, 0.62]","0.34 [0.14, 0.50]","0.42 [0.24, 0.57]","0.36 [0.26, 0.46]","0.85 [0.78, 0.93]",0.426,-1.264,2.116,"-0.01 [0.53, 0.80]",0.468
D1,D0 + psychometrics + career,structured,manip_checks,80,"0.97 [0.83, 1.11]","0.22 [-0.01, 0.43]","-0.04 [-0.12, 0.03]","0.08 [-0.01, 0.17]","0.26 [0.17, 0.36]","0.71 [0.61, 0.81]",-0.062,-2.361,2.237,n/a,0.501
D1,D0 + psychometrics + career,structured,vividness,80,"0.85 [0.71, 0.98]","0.35 [0.13, 0.53]","0.33 [0.16, 0.48]","0.34 [0.16, 0.49]","0.30 [0.21, 0.41]","0.85 [0.78, 0.93]",0.618,-1.035,2.270,"0.02 [0.54, 0.78]",0.384
D2,D1 + own words (phaseB turns),structured,closeness,80,"0.93 [0.79, 1.08]","0.40 [0.19, 0.58]","0.32 [0.15, 0.46]","0.34 [0.17, 0.49]","0.29 [0.19, 0.39]","0.79 [0.70, 0.88]",0.511,-1.487,2.509,"0.06 [0.54, 0.79]",0.422
D2,D1 + own words (phaseB turns),structured,continuity,80,"0.81 [0.69, 0.93]","0.45 [0.24, 0.62]","0.41 [0.22, 0.57]","0.43 [0.23, 0.58]","0.42 [0.31, 0.54]","0.84 [0.75, 0.91]",0.492,-1.217,2.201,"0.11 [0.53, 0.79]",0.235
D2,D1 + own words (phaseB turns),structured,manip_checks,80,"0.18 [0.15, 0.21]","0.98 [0.96, 0.99]","0.95 [0.91, 0.97]","0.98 [0.97, 0.99]","0.84 [0.75, 0.91]","1.00 [1.00, 1.00]",0.002,-0.462,0.465,n/a,0.106
D2,D1 + own words (phaseB turns),structured,vividness,80,"0.87 [0.73, 1.01]","0.41 [0.21, 0.58]","0.36 [0.20, 0.51]","0.38 [0.20, 0.52]","0.31 [0.22, 0.41]","0.82 [0.74, 0.90]",0.682,-0.974,2.338,"0.14 [0.57, 0.79]",0.221
D3,D2 + pre-outcome scores (LEAKAGE PROBE),structured,closeness,80,"0.44 [0.37, 0.50]","0.84 [0.75, 0.89]","0.76 [0.64, 0.83]","0.85 [0.77, 0.89]","0.49 [0.38, 0.60]","1.00 [1.00, 1.00]",0.051,-0.979,1.081,"-0.02 [0.86, 0.94]",0.135
D3,D2 + pre-outcome scores (LEAKAGE PROBE),structured,continuity,80,"0.43 [0.37, 0.50]","0.82 [0.72, 0.87]","0.70 [0.61, 0.77]","0.79 [0.73, 0.84]","0.55 [0.45, 0.66]","0.99 [0.96, 1.00]",-0.087,-1.115,0.940,"-0.10 [0.82, 0.93]",0.081
D3,D2 + pre-outcome scores (LEAKAGE PROBE),structured,manip_checks,80,"1.00 [0.86, 1.16]","-0.16 [-0.37, 0.06]","0.00 [0.00, 0.00]","-0.01 [-0.03, 0.00]","0.28 [0.19, 0.38]","0.72 [0.62, 0.82]",-0.102,-2.465,2.261,n/a,0.076
D3,D2 + pre-outcome scores (LEAKAGE PROBE),structured,vividness,80,"0.34 [0.29, 0.39]","0.81 [0.69, 0.89]","0.74 [0.61, 0.83]","0.86 [0.79, 0.91]","0.64 [0.54, 0.74]","1.00 [1.00, 1.00]",0.050,-0.776,0.876,"-0.01 [0.86, 0.95]",0.077
